"PART#","CA WAREHOUSE","VA WAREHOUSE","TX WAREHOUSE","PRICE"
"PC30288","IN STOCK","LIMITED QTY","LIMITED QTY","43.66"
"PC30289","IN STOCK","IN STOCK","IN STOCK","62.66"
"PC30290","OUT OF STOCK","OUT OF STOCK","OUT OF STOCK","119.66"
"PC30292","OUT OF STOCK","OUT OF STOCK","OUT OF STOCK","59.66"
"PC30298","IN STOCK","LIMITED QTY","LIMITED QTY","62.66"
"PC3029P","IN STOCK","IN STOCK","LIMITED QTY","45.66"
"PC30300","IN STOCK","IN STOCK","IN STOCK","68.66"
"PC30301","IN STOCK","OUT OF STOCK","OUT OF STOCK","57.66"
"PC30302","IN STOCK","IN STOCK","IN STOCK","72.66"
"PC30308","IN STOCK","LIMITED QTY","IN STOCK","75.66"
"PC3030P","IN STOCK","IN STOCK","LIMITED QTY","62.66"
"PC3031","IN STOCK","LIMITED QTY","OUT OF STOCK","39.66"
"PC30310","IN STOCK","LIMITED QTY","LIMITED QTY","69.66"
"PC30314","IN STOCK","LIMITED QTY","LIMITED QTY","75.66"
"PC30315","LIMITED QTY","LIMITED QTY","LIMITED QTY","85.66"
"PC30316","IN STOCK","OUT OF STOCK","IN STOCK","72.66"
"PC30317","IN STOCK","LIMITED QTY","IN STOCK","77.66"
"PC30319","LIMITED QTY","LIMITED QTY","LIMITED QTY","202.66"
"PC3032","LIMITED QTY","LIMITED QTY","OUT OF STOCK","62.66"
"PC30320","LIMITED QTY","OUT OF STOCK","OUT OF STOCK","99.66"
"PC30321","LIMITED QTY","OUT OF STOCK","OUT OF STOCK","109.66"
"PC30322","IN STOCK","LIMITED QTY","OUT OF STOCK","73.66"
"PC30324","IN STOCK","OUT OF STOCK","IN STOCK","69.66"
"PC30325","IN STOCK","LIMITED QTY","IN STOCK","75.66"
"PC30326","IN STOCK","LIMITED QTY","LIMITED QTY","148.66"
"PC30327","IN STOCK","LIMITED QTY","LIMITED QTY","66.66"
"PC30328","LIMITED QTY","OUT OF STOCK","OUT OF STOCK","129.66"
"PC30335","IN STOCK","LIMITED QTY","IN STOCK","57.66"
"PC3033P","LIMITED QTY","LIMITED QTY","IN STOCK","52.66"
"PC30342","LIMITED QTY","OUT OF STOCK","OUT OF STOCK","61.66"
"PC3034P","IN STOCK","IN STOCK","LIMITED QTY","53.66"
"PC3036P","LIMITED QTY","LIMITED QTY","LIMITED QTY","56.66"
"PC3039","IN STOCK","LIMITED QTY","LIMITED QTY","52.66"
"PC3040","LIMITED QTY","LIMITED QTY","OUT OF STOCK","72.66"
"PC3042P","IN STOCK","IN STOCK","IN STOCK","62.66"
"PC3045P","IN STOCK","IN STOCK","IN STOCK","63.66"
"PC3046P","OUT OF STOCK","LIMITED QTY","OUT OF STOCK","82.66"
"PC3047P","IN STOCK","LIMITED QTY","LIMITED QTY","52.66"
"PC3048P","IN STOCK","LIMITED QTY","OUT OF STOCK","47.66"
"PC3049","LIMITED QTY","OUT OF STOCK","OUT OF STOCK","51.66"
