PART#,TX,PRICE
4010184,0,31.64
4010185,0,55.92
4010186,1,43.15
4010187,4,57.85
4010188,6,38.34
4010189,3,39.97
4010190,1,39.74
4010191,0,41.48
4010192,5,34.82
4010193,8,35.4
4010194,1,22.46
4010195,9,28.28
4010196,0,36.07
4010197,0,36.59
4010198,1,31.65
4010199,0,70.85
4010200,5,32.23
4010201,5,56.71
4010202,0,55.19
4010203,1,44.38
4010204,0,62.43
4010205,5,26.94
4010206,0,38.01
4010207,5,78.86
4010208,5,49.72
4010209,0,19.48
4010210,30,49.69
4010211,3,45.07
4010212,2,41.88
4010213,0,26.55
4010214,6,41.4
4010215,0,78.13
4010216,6,37.31
4010217,4,35.34
4010218,4,42.63
4010219,4,54.42
4010220,14,59.58
4010221,0,64.75
4010222,0,105.14
4010223,5,25.02
4010224,0,54.85
4010225,0,37.53
4010226,0,35.17
4010227,3,58.35
4010228,13,51.41
4010229,0,48.72
4010230,0,57.98
4010231,0,42.68
4010232,1,47.86
4010233,3,45.86
4010234,0,69.34
4010235,5,51.55
4010236,0,46.92
4010237,0,111.98
4010238,0,42.73
4010239,1,35.64
4010240,5,15.75
4010241,10,43.29
4010242,10,35.53
4010243,0,54.86
4010244,6,38.01
4010245,5,48.04
4010246,8,30.28
4010247,5,37.18
4010248,4,38.83
4010249,4,63.65
4010250,7,26.06
4010251,7,59.06
4010252,18,30.78
4010253,1,46.12
4010254,0,57.47
4010255,10,27.05
4010256,0,37.72
4010257,0,52.59
4010258,0,34.82
4010259,22,77.15
4010260,6,51.71
4010261,3,62.41
4010262,7,31.18
4010263,1,37.66
4010264,0,35.24
4010265,6,34.82
4010266,0,42.58
4010267,0,57.57
4010268,0,47.28
4010269,14,50.23
4010270,3,52.22
4010271,5,43.63
4010272,14,42.23
4010273,22,36.11
4010274,5,40.05
4010275,3,36.51
4010276,8,35
4010277,14,41.57
4010278,0,59.16
4010279,0,37.35
4010280,9,27.69
4010281,0,61.93
4010282,0,61.22
4010283,0,36.47
4010284,0,40.71
4010285,5,29.96
4010286,0,52.87
4010287,7,73.77
4010288,0,58.95
4010289,5,48.17
4010290,0,52.87
4010291,0,63.97
4010292,0,39.74
4010293,6,68.25
4010294,0,45.37
4010295,0,59.25
4010296,0,41.53
4010297,11,51.23
4010298,0,33.89
4010300,4,73.51
4010301,0,31.55
4010302,6,69.78
4010303,3,37.6
4010304,17,55.93
4010305,13,47.57
4010306,0,50.56
4010307,0,74.33
4010308,4,63.48
4010309,0,36.04
4010310,0,41.48
4010312,0,46.92
4010313,23,57.77
4010314,9,55.55
4010315,0,47.58
4010316,2,82.61
4010317,6,106.25
4010318,23,41.48
4010319,6,38.83
4010320,6,42.37
4010321,0,40.41
4010322,0,84.83
4010323,0,52.33
4010324,10,58.79
4010325,4,42.2
4010326,5,33.16
4010327,27,30.46
4010328,6,32.49
4010329,5,39.63
4010330,0,36.85
4010332,5,36.77
4010333,1,48.65
4010334,15,39.93
4010335,0,71.79
4010336,0,41.53
4010337,0,41.53
4010338,1,41.31
4010339,6,45
4010340,4,54.46
4010341,8,33.72
4010342,3,48.37
4010343,0,71.99
4010344,0,63.44
4010345,14,61.22
4010346,0,56.17
4010347,6,52.26
4010348,0,28.52
4010349,5,58.06
4010350,6,56.87
4010352,0,32.34
4010353,6,55.22
4010354,6,45.69
4010355,4,50.52
4010356,6,34.02
4010357,9,43.65
4010358,4,33.78
4010359,5,42.42
4010360,0,51.23
4010361,1,42.38
4010362,4,43.38
4010363,17,56.66
4010364,0,45.23
4010365,5,57.26
4010366,3,30.28
4010367,0,39.34
4010368,0,45.17
4010369,6,60.59
4010370,0,54.92
4010371,0,68
4010372,1,57.74
4010373,11,74.8
4010374,4,93.14
4010375,2,37.21
4010376,5,43.86
4010377,5,53.15
4010378,14,71.69
4010379,5,77.02
4010380,0,36.14
4010381,4,40.49
4010382,3,49.82
4010383,3,56.09
4010384,5,41.79
4010385,0,44.75
4010386,5,58.79
4010387,6,53.97
4010388,2,86.4
4010389,4,44.68
4010390,0,56.8
4010391,0,95.37
4010392,3,45.23
4010393,0,769.38
4010394,3,71.29
4010395,0,76.38
4010396,9,120.33
4010397,16,60
4010398,0,41.17
4010399,0,58.23
4010400,0,57.98
4010401,0,51.11
4010402,7,85.78
4010403,0,60.85
4010404,0,51.11
4010405,0,53.01
4010406,15,66.56
4010407,0,64.97
4010408,0,50.12
4010409,13,38.23
4010410,7,58.66
4010411,9,42.64
4010412,6,63.12
4010413,16,59.08
4010414,4,40.79
4010415,12,52.97
4010416,16,53.21
4010417,0,59.75
4010419,2,70.54
4010420,5,59.08
4010421,0,49.36
4010422,0,60.59
4010423,2,68.81
4010424,4,52.67
4010425,5,58.12
4010426,6,78.09
4010427,3,55.94
4010428,8,38.77
4010429,17,99.07
4010430,0,60.08
4010431,0,82.68
4010432,0,74.28
4010433,10,35.63
4010434,0,48.23
4010435,0,79.42
4010436,0,52.39
4010437,0,39.23
4010438,0,61.21
4010439,0,52.94
4010440,2,75.93
4010441,4,47.63
4010442,0,42.84
4010443,0,83.37
4010444,1,44.32
4010445,7,40.27
4010446,1,58.33
4010447,0,72.35
4010448,0,55.03
4010449,0,64.76
4010450,0,57.35
4010451,23,59.38
4010452,4,51.11
4010453,0,57.28
4010454,0,67.62
4010455,0,68.47
4010456,1,74.27
4010457,3,36.24
4010458,0,78.87
4010459,0,72.2
4010460,2,90.96
4010461,10,60.76
4010462,7,47.33
4010463,10,51.38
4010464,0,79.07
4010465,0,68.63
4010466,0,57.74
4010467,0,46.46
4010468,0,74.22
4010469,0,39.08
4010470,6,76.42
4010471,0,71.12
4010472,0,52.98
4010473,0,76.13
4010474,0,65.52
4010475,0,58.41
4010476,0,57.08
4010477,7,68.08
4010478,0,78.45
4010479,0,44.58
4010480,4,54.03
4010481,0,56.41
4010482,0,98.77
4010483,0,40.85
4010484,0,53.6
4010485,4,53.67
4010486,0,50.35
4010487,1,33.34
4010488,7,31.65
4010489,0,56.37
4010490,0,65.17
4010491,0,90.49
4010492,0,53.89
4010493,0,41.88
4010494,0,64.8
4010495,0,41.31
4010497,0,74.99
4010498,0,55.41
4010500,16,46.19
4010501,0,58.44
4010502,0,74.22
4010503,0,56.58
4010504,0,43.42
4010505,0,55.54
4010506,12,58.28
4010507,0,58.63
4010508,0,47.51
4010509,4,48.06
4010510,4,96.85
4010511,6,35.95
4010512,0,52.43
4010513,1,53.61
4010514,5,82.45
4010515,0,63.15
4010516,2,77.15
4010517,8,49.08
4010518,8,54.52
4010519,0,64.85
4010520,3,139.74
4010521,2,45.64
4010522,0,41.16
4010523,0,54.82
4010524,0,66.81
4010525,0,87.27
4010526,10,54.05
4010527,0,70.05
4010528,0,47.58
4010529,0,53.01
4010530,0,40.95
4010531,0,45.59
