Part,Available Quantity,Location Code
AK 1679,0,MAIN
AK 1680,0,MAIN
AK 1681,1,MAIN
AK 1682,0,MAIN
AK 1683,0,MAIN
AK 1684,0,MAIN
AK 1685,0,MAIN
AK 1686,1,MAIN
AK 1687,0,MAIN
AK 1688,0,MAIN
AK 1690,0,MAIN
AK 1691,0,MAIN
AK 1692,0,MAIN
AK 1693,0,MAIN
AK 1694,6,MAIN
AK 1695,6,MAIN
AK 1696,2,MAIN
AK 1697,8,MAIN
AK 1698,2,MAIN
AK 1699,2,MAIN
AK 1700,2,MAIN
AK 1701,2,MAIN
AK 1702,2,MAIN
AK 1703,2,MAIN
AK 1704,2,MAIN
AK 1705,2,MAIN
AK 1706,2,MAIN
AK 1707,2,MAIN
AK 1708,1,MAIN
AK 1709,1,MAIN
AK 1710,1,MAIN
AK 1711,2,MAIN
AK 1712,1,MAIN
AK 1713,0,MAIN
AK 1714,3,MAIN
AK 1715,0,MAIN
AK 1716,1,MAIN
AK 1717,0,MAIN
AK 1718,1,MAIN
AK 1719,0,MAIN
AK 1720,1,MAIN
AK 1721,0,MAIN
AK 1723,1,MAIN
AK 1724,3,MAIN
AK 1725,1,MAIN
AK 1726,1,MAIN
AK 1727,1,MAIN
AK 1728,1,MAIN
AK 1729,1,MAIN
AK 1730,1,MAIN
AK 1731,1,MAIN
AK 1732,8,MAIN
AK 1733,1,MAIN
AK 1734,0,MAIN
AK 1735,1,MAIN
AK 1736,3,MAIN
AK 1737,1,MAIN
AK 1738,4,MAIN
AK 1739,3,MAIN
AK 1740,1,MAIN
AK 1741,1,MAIN
AK 1742,1,MAIN
AK 1743,1,MAIN
AK 1744,1,MAIN
AK 1745,1,MAIN
AK 1746,1,MAIN
AK 1747,1,MAIN
AK 1748,1,MAIN
AK 1749,0,MAIN
AK 1751,1,MAIN
AK 1752,1,MAIN
AK 1753,0,MAIN
AK 1754,1,MAIN
AK 1755,0,MAIN
AK 1756,0,MAIN
AK 1757,0,MAIN
AK 1758,0,MAIN
AK 1759,0,MAIN
AK 1761,8,MAIN
AK 1762,8,MAIN
AK 1763,2,MAIN
AK 1764,2,MAIN
AK 1765,2,MAIN
AK 1766,10,MAIN
AK 1767,10,MAIN
AK 1768,2,MAIN
AK 1769,2,MAIN
AK 1770,1,MAIN
AK 1771,8,MAIN
AK 1772,0,MAIN
AK 1773,0,MAIN
AK 1774,1,MAIN
AK 1775,0,MAIN
AK 1776,0,MAIN
AK 1777,2,MAIN
AK 1778,0,MAIN
AK 1779,0,MAIN
AK 1780,0,MAIN
AK 1781,3,MAIN
AK 1782,3,MAIN
AK 1783,8,MAIN
AK 1784,5,MAIN
AK 1785,1,MAIN
AK 1786,1,MAIN
AK 1787,0,MAIN
AK 1788,2,MAIN
AK 1789,2,MAIN
AK 1790,2,MAIN
AK 1791,2,MAIN
AK 1792,2,MAIN
AK 1793,1,MAIN
AK 1794,3,MAIN
AK 1795,2,MAIN
AK 1796,8,MAIN
AK 1797,13,MAIN
AK 1799,0,MAIN
AK 1800,0,MAIN
AK 1801,0,MAIN
AK 1802,0,MAIN
AK 1803,0,MAIN
AK 1804,0,MAIN
AK 1805,0,MAIN
AK 1806,0,MAIN
AK 1808,0,MAIN
AK 1809,0,MAIN
AK 1810,0,MAIN
AK 1811,3,MAIN
AK 1812,0,MAIN
AK 1813,8,MAIN
AK 1814,8,MAIN
AK 1816,1,MAIN
AK 1817,1,MAIN
AK 1818,0,MAIN
