PART#,CROSS,NV,TX,PA,FL,PRICE
14-0096C,,0,0,0,2,114.65
14-0096NC,,0,0,0,0,288.39
14-0096NEW,,20,4,0,2,169.17
14-0096NIP,,0,1,0,1,243.7
14-0097C,,0,0,0,0,237.25
14-0097GM,,0,0,0,0,236
14-0097NC,,0,0,0,0,88.01
14-0097NEW,,114,7,0,1,178.57
14-0097RC,,7,0,0,0,114.27
14-0098C,,3,0,0,0,116.6
14-0098FD,,0,0,0,0,322.34
14-0098NC,,0,0,0,0,191.07
14-0098NEW,,89,62,0,3,119.39
14-0098NIP,,0,0,0,0,160.77
14-0098RC,,66,0,0,0,112.72
14-0100C,,0,0,0,0,128.31
14-0100D,,0,0,0,0,148.77
14-0100MPR,,0,0,0,0,535.56
14-0100NC,,0,0,0,0,195.41
14-0100NEW,,113,3,0,3,148.18
14-0100RC,,16,0,0,0,84.31
14-0101C,,1,0,0,0,286.62
14-0102C,,0,0,0,1,85.99
14-0102NC,,3,0,0,0,173.02
14-0102NEW,,16,1,0,2,162.76
14-0102NIP,,0,0,0,0,234.73
14-0103C,,0,0,0,0,83.87
14-0103NC,,0,0,0,0,306.02
14-0103NEW,,0,1,0,1,191.69
14-0104C,,0,0,0,0,139.69
14-0104NC,,0,0,0,0,143.08
14-0104NEW,,19,0,0,0,214.17
14-0104NIP,,0,0,0,0,234.73
14-0105C,,0,0,0,0,338.94
14-0105NC,,0,0,0,0,234.73
14-0106C,,1,0,0,1,220.7
14-0106MPR,,0,0,0,0,180.88
14-0106NC,,96,0,0,0,335.72
14-0106NEW,,0,0,0,0,160.96
14-0107C,,0,0,0,0,297.11
14-0107N,,0,0,0,0,257.96
14-0107NC,,0,0,0,0,407.71
14-0107NEW,,0,0,0,0,255.79
14-0107NIP,,1,2,0,1,383.35
14-0108C,,0,0,0,0,283.76
14-0108N,,0,0,0,0,257.96
14-0108NC,,0,0,0,0,500.9
14-0108NEW,,1,0,0,0,188.57
14-0109C,,0,0,0,0,286.62
14-0109NEW,,0,0,0,0,690.87
14-0110C,,0,0,0,0,220.7
14-0110NC,,0,0,0,0,252.6
14-0110NEW,,40,0,0,0,196.71
14-0110RC,,5,0,0,0,135.2
14-0111C,,0,0,0,0,123.25
14-0111NC,,0,0,0,0,254.54
14-0111NEW,,0,0,0,0,200.97
14-0112C,,0,0,0,0,132.63
14-0112NC,,0,0,0,0,294.9
14-0112NEW,,40,8,31,0,162.17
14-0112NIP,,0,0,0,0,257.04
14-0113C,,0,0,0,0,220.7
14-0113NC,,0,0,0,0,294.61
14-0114C,,8,0,0,2,170.92
14-0114GM,,1,0,0,0,355.59
14-0114KIT,,9,2,0,1,251.33
14-0114NC,,0,0,0,0,332.54
14-0114NEW,,840,21,0,7,225.34
14-0115C,,0,0,0,0,220.7
14-0116C,,0,0,0,0,189.17
14-0116NC,,0,0,0,0,437.16
14-0116NEW,,1,0,0,0,166.65
14-0117C,,0,0,0,0,120.01
14-0117NC,,0,0,0,0,182.59
14-0117NEW,,88,7,0,1,121.64
14-0117NIP,,5,0,0,0,171.7
14-0118C,,0,0,0,0,171.97
14-0118NC,,11,0,0,0,185.64
14-0118NEW,,21,6,0,0,199.94
14-0118P,,9,4,0,0,175.07
14-0118RC,,0,0,0,0,124.31
14-0119C,,0,0,0,0,315.29
14-0119NEW,,0,0,0,0,290.68
14-0120C,,0,0,0,0,257.96
14-0120NC,,0,0,0,0,234.73
14-0120NEW,,0,0,0,0,287.77
